As of Date,Fiscal Year,Region,Borrower Country,Borrower Country Code,Project ID,Project Name,Procurement Type,Procurement Category,Procurement Method,Product line,WB Contract Number,Major Sector,Contract Description,Contract Signing Date,Supplier,Supplier Country,Supplier Country Code,Total Contract Amount (USD),Borrower Contract Reference Number
12/18/2012 12:00:00 AM,2013,SOUTH ASIA,Afghanistan,AF,P113421,AF: Pension Admin and Safety Net,Legal Advisory Services,Consultant Services,Individual,IBRD/IDA,1325083,"Public Administration, Law, and Justice",Senior Advisor to Deputy Minister Labor Affairs,07/30/2012 12:00:00 AM,ABRAHIM KHAIRANDESH,Afghanistan,AF,$75716.00,MOLSAMD/SPP-C-36.2
12/18/2012 12:00:00 AM,2013,SOUTH ASIA,Afghanistan,AF,P098118,Afghanistan: Natural Resources Devt,Geological/Geophysical Services,Consultant Services,Individual,IBRD/IDA,1327073,Energy and mining,Junior Archaeologist for Aynak Archeological project,07/23/2012 12:00:00 AM,RAFAEL A. SEQUEIRA GARZA,Lebanon,LB,$91174.00,MOM/PMU/94 - 28
12/18/2012 12:00:00 AM,2013,SOUTH ASIA,Afghanistan,AF,P098118,Afghanistan: Natural Resources Devt,"Management Advice, Technical/Operation A",Consultant Services,Individual,IBRD/IDA,1328174,Energy and mining,Adviser to the H.E Minister of Mines on development of Hydro,09/18/2012 12:00:00 AM,ABDUL JALIL AHMAD JUMRIANI,Afghanistan,AF,$158674.00,MOM/PMU/CT - 131
12/18/2012 12:00:00 AM,2013,SOUTH ASIA,Afghanistan,AF,P098118,Afghanistan: Natural Resources Devt,"Management Advice, Technical/Operation A",Consultant Services,Individual,IBRD/IDA,1326382,Energy and mining,Principle Adviser,08/16/2012 12:00:00 AM,WEIS SHERDEL,Afghanistan,AF,$241176.00,MOM/PMU/SDNRP/CT - 118
12/18/2012 12:00:00 AM,2013,SOUTH ASIA,Afghanistan,AF,P098118,Afghanistan: Natural Resources Devt,"Equipment, Mining",Goods,International Competitive Bidding,IBRD/IDA,1326703,Energy and mining,Procurement of goods for supply of vehicles,08/01/2012 12:00:00 AM,HABIB GULZAR MOTOR LTD,Afghanistan,AF,$416516.00,MOM/PMU/SDNRP/GOODS/II/
12/18/2012 12:00:00 AM,2013,SOUTH ASIA,Afghanistan,AF,P098118,Afghanistan: Natural Resources Devt,Geological/Geophysical Services,Consultant Services,Individual,IBRD/IDA,1325346,Energy and mining,Junior Archaeologist for Aynak Archeological Project,07/03/2012 12:00:00 AM,ROBERTA MARZIANI,United Kingdom,GB,$93274.00,MOM-PMU-94-17
12/18/2012 12:00:00 AM,2013,SOUTH ASIA,Afghanistan,AF,P098118,Afghanistan: Natural Resources Devt,Geological/Geophysical Services,Consultant Services,Individual,IBRD/IDA,1325355,Energy and mining,Junior Archaeologist for Aynak Archeological Project,07/03/2012 12:00:00 AM,ANDREW GINNS,United Kingdom,GB,$93274.00,MOM-PMU-94-19
12/18/2012 12:00:00 AM,2013,SOUTH ASIA,Afghanistan,AF,P098118,Afghanistan: Natural Resources Devt,Geological/Geophysical Services,Consultant Services,Individual,IBRD/IDA,1325352,Energy and mining,Junior Archaeologist for Aynak Archeological Project,07/03/2012 12:00:00 AM,RICHARD HUMPHREY,United Kingdom,GB,$47737.00,MOM-PMU-94-20
12/18/2012 12:00:00 AM,2013,SOUTH ASIA,Afghanistan,AF,P098118,Afghanistan: Natural Resources Devt,Geological/Geophysical Services,Consultant Services,Individual,IBRD/IDA,1325356,Energy and mining,Junior Archaeologist for Aynak Archeological Project,07/03/2012 12:00:00 AM,DAMIAN PODLINSKI,Poland,PL,$93274.00,MOM-PMU-94-21
12/18/2012 12:00:00 AM,2013,SOUTH ASIA,Afghanistan,AF,P098118,Afghanistan: Natural Resources Devt,Geological/Geophysical Services,Consultant Services,Individual,IBRD/IDA,1325351,Energy and mining,Junior Archaeologist for Aynak Archeological Project,07/23/2012 12:00:00 AM,THOMAS ELEY,United Kingdom,GB,$93274.00,MOM-PMU-94-25
12/18/2012 12:00:00 AM,2013,SOUTH ASIA,Afghanistan,AF,P098118,Afghanistan: Natural Resources Devt,Geological/Geophysical Services,Consultant Services,Individual,IBRD/IDA,1325357,Energy and mining,Junior Archaeologist for Aynak Archeological Project,07/23/2012 12:00:00 AM,VYDHEGI BRICE,France,FR,$91174.00,MOM-PMU-94-27
12/18/2012 12:00:00 AM,2013,SOUTH ASIA,Afghanistan,AF,P098118,Afghanistan: Natural Resources Devt,Geological/Geophysical Services,Consultant Services,Individual,IBRD/IDA,1325354,Energy and mining,Junior Archaeologist for Aynak Archeological Project,07/23/2012 12:00:00 AM,RAFAEL RAFAEL,Mozambique,MZ,$91174.00,MOM-PMU-94-28
12/18/2012 12:00:00 AM,2013,SOUTH ASIA,Afghanistan,AF,P098118,Afghanistan: Natural Resources Devt,Geological/Geophysical Services,Consultant Services,Individual,IBRD/IDA,1325347,Energy and mining,Junior Archaeologist for Aynak Archeological Project,07/23/2012 12:00:00 AM,KONSTANTINA ROMANTZI,Greece,GR,$91174.00,MOM-PMU-94-29
12/18/2012 12:00:00 AM,2013,SOUTH ASIA,Afghanistan,AF,P117103,AF: National Solidarity Program III,Project Management,Consultant Services,Individual,IBRD/IDA,1327036,"Agriculture, fishing, and forestry",For Consultancy Services as Senior Filed Coordinator for Hig,07/05/2012 12:00:00 AM,AHMAD KHOSHAL,Afghanistan,AF,$33077.00,MRRD/NSPIII/CN/680
12/18/2012 12:00:00 AM,2013,SOUTH ASIA,Afghanistan,AF,P117103,AF: National Solidarity Program III,Project Management,Consultant Services,Single Source Selection,IBRD/IDA,1328403,"Agriculture, fishing, and forestry","NSPIII Facilitating partner for communities in Tani, MandoZa",11/16/2012 12:00:00 AM,IRC,Afghanistan,AF,$4631888.00,MRR/NSPIII/CN/2ND-RBG-2010/13-IR
12/18/2012 12:00:00 AM,2013,SOUTH ASIA,Afghanistan,AF,P117103,AF: National Solidarity Program III,Project Management,Consultant Services,Single Source Selection,IBRD/IDA,1328406,"Agriculture, fishing, and forestry","NSPIII Facilitating partner for communites in Andkhoy, Alish",11/16/2012 12:00:00 AM,DACAR,Afghanistan,AF,$4316616.00,MRRD/NSPIII/2MD-RBG-2012/15-DACA
12/18/2012 12:00:00 AM,2013,SOUTH ASIA,Afghanistan,AF,P117103,AF: National Solidarity Program III,Project Management,Consultant Services,Individual,IBRD/IDA,1327026,"Agriculture, fishing, and forestry",Fo Consultancy Services as Executive Director ( ED ),09/16/2012 12:00:00 AM,MR. MOHAMMAD TARIQ ISMATI,Afghanistan,AF,$121559.00,MRRD/NSPIII/CN/0139
12/18/2012 12:00:00 AM,2013,SOUTH ASIA,Afghanistan,AF,P117103,AF: National Solidarity Program III,Project Management,Consultant Services,Individual,IBRD/IDA,1327034,"Agriculture, fishing, and forestry","For Consultancy Services as Head, Monitoring & Evaluation De",07/05/2012 12:00:00 AM,MR. NASRULLAH AHMADZAI,Afghanistan,AF,$56451.00,MRRD/NSPIII/CN/180
12/18/2012 12:00:00 AM,2013,SOUTH ASIA,Afghanistan,AF,P117103,AF: National Solidarity Program III,Project Management,Consultant Services,Individual,IBRD/IDA,1327069,"Agriculture, fishing, and forestry",For Consultancy Services as Deputy Director of Operations,07/05/2012 12:00:00 AM,MR. GHULAM RASOUL WAHID,Afghanistan,AF,$85789.00,MRRD/NSPIII/CN/200
12/18/2012 12:00:00 AM,2013,SOUTH ASIA,Afghanistan,AF,P117103,AF: National Solidarity Program III,Project Management,Consultant Services,Single Source Selection,IBRD/IDA,1328401,"Agriculture, fishing, and forestry","NSP III Facilitating Partner for comunitites in Nahrin, Puli",11/12/2012 12:00:00 AM,ACTED,Afghanistan,AF,$6759900.00,MRRD/NSPIII/CN/2ND-RBG-2010/01-A
12/18/2012 12:00:00 AM,2013,SOUTH ASIA,Afghanistan,AF,P117103,AF: National Solidarity Program III,Project Management,Consultant Services,Single Source Selection,IBRD/IDA,1328409,"Agriculture, fishing, and forestry","NSP III Facilitating partner for communities in Darwaz, Jurm",11/16/2012 12:00:00 AM,AKDN,Afghanistan,AF,$7567712.00,MRRD/NSPIII/CN/2ND-RBG-2012/04-A
12/18/2012 12:00:00 AM,2013,SOUTH ASIA,Afghanistan,AF,P117103,AF: National Solidarity Program III,Project Management,Consultant Services,Single Source Selection,IBRD/IDA,1328410,"Agriculture, fishing, and forestry",NSPIII facilitating partner for communities in Ahmad Abad an,11/16/2012 12:00:00 AM,CARE INTERNATIONAL,Afghanistan,AF,$3043064.00,MRRD/NSPIII/CN/2ND-RBG-2012/06-C
12/18/2012 12:00:00 AM,2013,SOUTH ASIA,Afghanistan,AF,P121755,Afghanistan ICT Sector Development Proje,ICT/Telecommunications Services,Consultant Services,Quality And Cost-Based Selection,IBRD/IDA,1327140,Information and communications,"Management of the Innovation Support Program as a whole, in",10/08/2012 12:00:00 AM,AFGHANIS INFORMATION MANAGEMENT (AIMS),Afghanistan,AF,$9806.00,C2.5 CONSULTANCY SERVICES FOR IN
12/18/2012 12:00:00 AM,2013,SOUTH ASIA,Afghanistan,AF,P117103,AF: National Solidarity Program III,Project Management,Consultant Services,Single Source Selection,IBRD/IDA,1328411,"Agriculture, fishing, and forestry",NSPIII facilitatiing partner for communites in Khuja Sabzpos,11/11/2012 12:00:00 AM,CHA,Afghanistan,AF,$2963218.00,MRRD/NSPIII/CN/2ND-RBG-2012/07-C
12/18/2012 12:00:00 AM,2013,SOUTH ASIA,Afghanistan,AF,P117103,AF: National Solidarity Program III,Project Management,Consultant Services,Single Source Selection,IBRD/IDA,1328412,"Agriculture, fishing, and forestry",NSPIII facilitating partner for communities in Chal and Nama,11/16/2012 12:00:00 AM,CONCERN,Afghanistan,AF,$1014460.00,MRRD/NSPIII/CN/2ND-RBG-2012/08-C
12/18/2012 12:00:00 AM,2013,SOUTH ASIA,Afghanistan,AF,P117103,AF: National Solidarity Program III,Project Management,Consultant Services,Single Source Selection,IBRD/IDA,1328423,"Agriculture, fishing, and forestry",NSPIII Facilitating partner for communities in Qala-e-Now Di,11/16/2012 12:00:00 AM,NPO/RAA,Afghanistan,AF,$1054500.00,MRRD/NSPIII/CN/2ND-RBG-2012/10-N
12/18/2012 12:00:00 AM,2013,SOUTH ASIA,Afghanistan,AF,P117103,AF: National Solidarity Program III,Project Management,Consultant Services,Single Source Selection,IBRD/IDA,1328405,"Agriculture, fishing, and forestry","NSPIII facilitating partner for communities in Narang, Sirka",11/16/2012 12:00:00 AM,MADERA,Afghanistan,AF,$4278892.00,MRRD/NSPIII/CN/2ND-RBG-2012/12-M
12/18/2012 12:00:00 AM,2013,SOUTH ASIA,Afghanistan,AF,P117103,AF: National Solidarity Program III,Project Management,Consultant Services,Single Source Selection,IBRD/IDA,1328404,"Agriculture, fishing, and forestry","NSPIII Facilitating partner for communities in Chahrnsur, Ch",11/16/2012 12:00:00 AM,RI,Afghanistan,AF,$2786100.00,MRRD/NSPIII/CN/2ND-RBG-2012/16-R
12/18/2012 12:00:00 AM,2013,SOUTH ASIA,Afghanistan,AF,P117103,AF: National Solidarity Program III,Project Management,Consultant Services,Single Source Selection,IBRD/IDA,1328407,"Agriculture, fishing, and forestry",NSPIII Facilitating Partner for Communities in Markazi Bihsu,11/16/2012 12:00:00 AM,SCA,Afghanistan,AF,$5580076.00,MRRD/NSPIII/CN/2ND-RBG-2012/17-S
12/18/2012 12:00:00 AM,2013,SOUTH ASIA,Afghanistan,AF,P117103,AF: National Solidarity Program III,Project Management,Consultant Services,Single Source Selection,IBRD/IDA,1328426,"Agriculture, fishing, and forestry",NSPIII facilitating partner for communities in Shakar Dara a,11/16/2012 12:00:00 AM,SDO,Afghanistan,AF,$1802868.00,MRRD/NSPIII/CN/2ND-RBG-2012/18-S
12/18/2012 12:00:00 AM,2013,SOUTH ASIA,Afghanistan,AF,P117103,AF: National Solidarity Program III,Project Management,Consultant Services,Single Source Selection,IBRD/IDA,1328402,"Agriculture, fishing, and forestry","NSPIII Facilitating Partner for Communities in Kohistant, So",11/16/2012 12:00:00 AM,ZOA,Afghanistan,AF,$4077872.00,MRRD/NSPIII/CN/2ND-RBG-2012/20-Z
12/18/2012 12:00:00 AM,2013,SOUTH ASIA,Afghanistan,AF,P117103,AF: National Solidarity Program III,Project Management,Consultant Services,Single Source Selection,IBRD/IDA,1328408,"Agriculture, fishing, and forestry",NSP III Facilitating partner for communities in Dara-e-Suf e,11/12/2012 12:00:00 AM,BRAC-AFGHANISTAN,Afghanistan,AF,$543384.00,MRRD/NSPIII/CN/2ND-RBG-2012-05-B
12/18/2012 12:00:00 AM,2013,SOUTH ASIA,Afghanistan,AF,P117103,AF: National Solidarity Program III,Project Management,Consultant Services,Individual,IBRD/IDA,1327043,"Agriculture, fishing, and forestry",For Consultancy Services as Head of Procurment Department,07/05/2012 12:00:00 AM,MR. NABIULLAH AZIMI,Afghanistan,AF,$46309.00,MRRD/NSPIII/CN/498
12/18/2012 12:00:00 AM,2013,SOUTH ASIA,Afghanistan,AF,P117103,AF: National Solidarity Program III,Project Management,Consultant Services,Individual,IBRD/IDA,1327619,"Agriculture, fishing, and forestry",Consultancy services as Interantional Individual Consultant,10/19/2012 12:00:00 AM,BARRY ARMSTRONG,Thailand,TH,$22002000.00,MRRD/NSPIII/CN/508
12/18/2012 12:00:00 AM,2013,SOUTH ASIA,Afghanistan,AF,P117103,AF: National Solidarity Program III,Project Management,Consultant Services,Individual,IBRD/IDA,1327028,"Agriculture, fishing, and forestry",For Consultancy Services as Donor Relation Manager for NSP,07/05/2012 12:00:00 AM,MR. MAMOON KHAWAR,Afghanistan,AF,$49023.00,MRRD/NSPIII/CN/592
12/18/2012 12:00:00 AM,2013,SOUTH ASIA,Afghanistan,AF,P117103,AF: National Solidarity Program III,Project Management,Consultant Services,Individual,IBRD/IDA,1327027,"Agriculture, fishing, and forestry","For Consultancy Services as Head FP, Management Department",10/14/2012 12:00:00 AM,MR. SULAIMAN SARWARY,Afghanistan,AF,$35304.00,MRRD/NSPIII/CN/745
12/18/2012 12:00:00 AM,2013,SOUTH ASIA,Afghanistan,AF,P117103,AF: National Solidarity Program III,Project Management,Consultant Services,Single Source Selection,IBRD/IDA,1325690,"Agriculture, fishing, and forestry",Consultancy Services as Financial managment agent for Nation,07/10/2012 12:00:00 AM,GIZ INTERNATIONAL SERVICES GMBH,Germany,DE,$984007.00,MRRD/NSPIII/CN/800
12/18/2012 12:00:00 AM,2013,SOUTH ASIA,Afghanistan,AF,P117103,AF: National Solidarity Program III,Project Management,Consultant Services,Individual,IBRD/IDA,1327030,"Agriculture, fishing, and forestry","For Consultancy Services as Head, Engineering Department",07/05/2012 12:00:00 AM,MOHAMMAD ASHRAF HEMAT,Afghanistan,AF,$37453.00,MRRD/NSPIII/CN/IC107
12/18/2012 12:00:00 AM,2013,SOUTH ASIA,Afghanistan,AF,P117103,AF: National Solidarity Program III,Project Management,Consultant Services,Single Source Selection,IBRD/IDA,1328427,"Agriculture, fishing, and forestry","NSPIII facilitating partner for commuites in Murdyan Qarqin,",11/16/2012 12:00:00 AM,ACTION AID,Afghanistan,AF,$2591868.00,MRRD/NSPIII/NC/2ND-RBG-2012-02AC
12/18/2012 12:00:00 AM,2013,SOUTH ASIA,Afghanistan,AF,P121755,Afghanistan ICT Sector Development Proje,ICT/Telecommunications Services,Consultant Services,CQS,IBRD/IDA,1327143,Information and communications,provide IT Training to MCIT and other staff at Kabul.,08/10/2012 12:00:00 AM,RANA TECHNOLGOIES ENTERPRISES,Afghanistan,AF,$204082.00,C3.4.3 IT TRAINING
12/18/2012 12:00:00 AM,2013,SOUTH ASIA,Afghanistan,AF,P117103,AF: National Solidarity Program III,Project Management,Consultant Services,Single Source Selection,IBRD/IDA,1328424,"Agriculture, fishing, and forestry",NSP III Facilitating Partner for communities in Dehrawud Di,11/16/2012 12:00:00 AM,AFGHANISTAN NATIONAL RE-CONST. ANCC,Afghanistan,AF,$1251625.00,MRRD/NSPIII/NC/2ND-RBG-2012-09-A
12/18/2012 12:00:00 AM,2013,SOUTH ASIA,Afghanistan,AF,P123845,AF: Capacity Blding for Results Facility,Institution building,Consultant Services,Individual,Recipient Executed Activities,1327186,"Public Administration, Law, and Justice","Financial Management Specialist
CBR-PSU
Contract period :",09/05/2012 12:00:00 AM,SULIMAN AHMAD,Afghanistan,AF,$52499.00,CBR-CONT/IARCSC/02/09-2012
12/18/2012 12:00:00 AM,2013,SOUTH ASIA,Afghanistan,AF,P121755,Afghanistan ICT Sector Development Proje,"Works, Installation & Erection",Civil Works,International Competitive Bidding,IBRD/IDA,1327149,Information and communications,"Supply, Installation, Operation, Maintenance, and other Mana",10/02/2012 12:00:00 AM,USTRONICS,United States,US,$3379487.00,NC 2.1
12/18/2012 12:00:00 AM,2013,SOUTH ASIA,Afghanistan,AF,P101502,AF: HIV/AIDS Prevention Project,Health Services,Consultant Services,Individual,IBRD/IDA,1324214,Health and other social services,M&E Surveillance consultant HIV AIDs,07/01/2012 12:00:00 AM,DR. HUSSAIN ALI YOUSUFI,Afghanistan,AF,$34630.00,HIV 13
12/18/2012 12:00:00 AM,2013,SOUTH ASIA,Afghanistan,AF,P098256,AF: Hort. & Livestock Project,"Equipment, Agricultural",Goods,International Competitive Bidding,IBRD/IDA,1328175,"Agriculture, fishing, and forestry",Procurement of Artificial insemination equipment for livesto,07/17/2012 12:00:00 AM,MAWLANA YAQOB CHARKHI QURBAN KHAIL LTD,Afghanistan,AF,$257839.00,HLP/ICB/5799
12/18/2012 12:00:00 AM,2013,SOUTH ASIA,Afghanistan,AF,P119047,Financial Sector Rapid Response Project,Policy and Strategy,Consultant Services,Individual,IBRD/IDA,1328091,Finance,Technical Assistance to DAB on Procurement Process for Payme,07/22/2012 12:00:00 AM,ABIB GAYA,Afghanistan,AF,$98088.00,DAB/FSRRP/C-3
12/18/2012 12:00:00 AM,2013,SOUTH ASIA,Afghanistan,AF,P119047,Financial Sector Rapid Response Project,"Tender Documents, Procurement Assistance",Consultant Services,Individual,IBRD/IDA,1328094,Finance,International Procurement Specialist,10/09/2012 12:00:00 AM,MOSES JENKINS,Afghanistan,AF,$60169.00,DAB/FSRRP/C-7
12/18/2012 12:00:00 AM,2013,SOUTH ASIA,Afghanistan,AF,P120427,AF: Public Financial Mgmt. Reform II,Financial Services,Consultant Services,Single Source Selection,Recipient Executed Activities,1325621,"Public Administration, Law, and Justice",Financ Officer ARDS,09/05/2012 12:00:00 AM,SIBGHATULLAH TEMURI,Afghanistan,AF,$31849.00,ARDS-PU-048
12/18/2012 12:00:00 AM,2013,SOUTH ASIA,Afghanistan,AF,P087860,AF: Urban Water Sector,"Management Advice, Technical/Operation A",Consultant Services,Individual,IBRD/IDA,1325359,"Water, sanitation and flood protection",Head of Strategic business Unit (SBU) Heart,07/01/2012 12:00:00 AM,HAMIDULLAH YELANI,Afghanistan,AF,$5799.00,AUWSSC/1065-2/IDA/IC
12/18/2012 12:00:00 AM,2013,SOUTH ASIA,Afghanistan,AF,P098256,AF: Hort. & Livestock Project,"Equipment, Agricultural",Goods,International Competitive Bidding,IBRD/IDA,1328418,"Agriculture, fishing, and forestry",Procurement of HP Equipment for Horticulture Component,09/04/2012 12:00:00 AM,MAWLANA YAQOB CHARKHI QURBAN KHAIL LTD,Afghanistan,AF,$265570.00,MAIL/ARTF/HLP/ICB/ 5838
12/18/2012 12:00:00 AM,2013,SOUTH ASIA,Afghanistan,AF,P098256,AF: Hort. & Livestock Project,"Equipment, Agricultural",Goods,International Competitive Bidding,IBRD/IDA,1328416,"Agriculture, fishing, and forestry",Procurement of REV 1 Vaccines for livestock Component,10/14/2012 12:00:00 AM,ARAM TRADING CO.LTD,Afghanistan,AF,$186550.00,MAIL/ARTF/HLP/ICB/ 5855
12/18/2012 12:00:00 AM,2013,SOUTH ASIA,Afghanistan,AF,P098256,AF: Hort. & Livestock Project,"Equipment, Agricultural",Goods,International Competitive Bidding,IBRD/IDA,1328416,"Agriculture, fishing, and forestry",Procurement of REV 1 Vaccines for livestock Component,10/14/2012 12:00:00 AM,HUSSAIN ZADA CO.LTD,Afghanistan,AF,$186550.00,MAIL/ARTF/HLP/ICB/ 5855
